"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX47,MX56,MX30,MX42,MX90,MX34,MX9,MX39,MX28,MX43,MX57,MX36,MX55,MX20,MX53,MX77,MX4,MX48,MX23,MX38,MX75,MX35,MX54,MX37,MX1,MX83,MX14,MX52,MX29,MX15,MX40,MX6,MX72,MX18,MX25,MX3,MX71,MX61,MX7,MX10,MX8,MX2,MX19,MX12,MX45,MX26,MX11,MX44,MX107,MX24,MX76,MX17,MX49,MX59,MX81,MX21,MX74,MX13,MX51,MX105,MX69,MX58,MX22,MX32,MX60,MX27,MX68,MX80,MX70,MX41,MX16,MX5,MX73,MX106";"ALPS_SKFL+SKFN";74;"1U";;;
2;"MX82,MX91,MX84,MX33,MX46,MX89";"ALPS_SKFL+SKFN";6;"1.5U";;;
3;"MX31";"ALPS_SKFL+SKFN";1;"2U";;;
4;"D71,D81,D55";"LED_D3.0mm";3;"LED";;;
5;"MX79,MX63";"ALPS_SKFL+SKFN";2;"1.75U";;;
6;"MX99";"ALPS_SKFL+SKFN";1;"7U";;;
7;"G***,G***";"SalaneReboot";2;"LOGO";;;
8;"MX50";"ALPS_SKFL+SKFN";1;"1.25U";;;
9;"MX65,MX62";"ALPS_SKFL+SKFN";2;"2.25U";;;
10;"MX78";"ALPS_SKFL+SKFN";1;"2.75U";;;
11;"C13,C7,C11,C10,C3,C9,C12,C4,C8,C1";"C_0402_1005Metric";10;"100nF";;;
12;"D25,D11,D90,D84,D89,D52,D49,D13,D19,D34,D15,D3,D7,D59,D80,D6,D26,D16,D27,D17,D12,D66,D35,D78,D51,D57,D21,D9,D50,D30,D36,D1,D2,D29,D46,D22,D58,D62,D43,D56,D47,D63,D44,D68,D18,D79,D69,D70,D32,D54,D82,D61,D53,D45,D37,D39,D83,D77,D72,D14,D67,D23,D24,D31,D10,D5,D65,D20,D91,D73,D33,D75,D88,D64,D4,D48,D60,D42,D40,D38,D74,D76,D28,D8,D41";"DIODE_1206_SawnsProjects";85;"CD4148W";;;
13;"R2,R3,R1";"R_0603";3;"300R";;;
14;"U2";"RP2040-QFN-56";1;"RP2040";;;
15;"F1";"Fuse_1206_3216Metric";1;"Fuse";;;
16;"SW2";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
17;"C5";"C_0402_1005Metric";1;"10uF";;;
18;"J3";"Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal";1;"USB DTB 3";;;
19;"U1";"SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm";1;"W25Q128JVS";;;
20;"U3";"SOT-23";1;"XC6206PxxxMR-Regulator_Linear";;;
21;"R4,R9,R5";"R_0402_1005Metric";3;"1k";;;
22;"C6,C15,C14,C2";"C_0402_1005Metric";4;"1uF";;;
23;"R6,R7";"R_0603_1608Metric";2;"27R";;;
24;"J1";"JST-SR-4";1;"Conn_01x04";;;
25;"Y1";"Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm";1;"12MHz";;;
